Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199701,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,25.8497,1.0,-8.16269,1.0,8.732,0.991263,67.737,0.0,296.873,0,2.922,0.0504032,101.283,0.0,0.343905606868,0.926747311828,2.353,0.0813172,2.276,1.0,404.202,1.0,,,9.522,10.597,67.737,296.873,3.027,101.283,2.353,1.989,
2,199702,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,40.3744,0.988839,20.4145,1.0,8.633,0.989583,121.619,0.0,271.801,0,1.978,0.986607,101.656,0.0,0.320842374449,0.912202380952,1.45,0.999256,2.321,1.0,398.136,1.0,,,9.065,10.487,121.619,271.801,3.598,101.656,1.446,2.13,
3,199703,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,54.8747,1.0,60.6747,1.0,9.706,0.993952,183.339,0.0,277.09,0,3.691,0.770161,101.288,0.0,0.352652254623,0.880376344086,1.639,0.77621,2.36,1.0,387.446,1.0,,,10.719,12.504,183.339,277.09,4.499,101.288,0.938,2.093,
4,199704,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,47.9086,0.994444,83.7071,1.0,9.574,0.988194,218.141,0.0,285.673,0,3.112,0.984028,100.833,0.0,0.381623995604,0.897916666667,2.543,0.999306,2.482,1.0,385.656,1.0,,,11.13,12.495,218.141,285.673,4.547,100.833,2.335,2.181,
5,199705,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,70.7113,0.997984,116.908,1.0,15.687,0.991935,279.876,0.0,318.118,0,5.654,0.510753,101.011,0.0,0.382518452683,0.851478494624,1.092,0.519489,2.308,0.774866,389.908,1.0,,,17.384,18.916,279.876,318.118,6.494,101.011,0.818,1.862,
6,199706,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,68.0172,1.0,131.52,0.998611,18.728,0.998611,287.145,0.0,346.651,0,3.514,0.99375,100.692,0.0,0.428776364238,0.909722222222,0.5,1.0,2.735,1.0,385.713,1.0,,,20.955,22.248,287.145,346.651,7.513,100.692,1.35,2.133,
7,199707,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,64.0066,1.0,135.858,1.0,20.173,0.993952,283.817,0.0,351.578,0,4.436,0.993952,100.981,0.0,0.386802029313,0.859543010753,0.2,1.0,2.468,0.999328,376.425,1.0,,,22.226,23.625,283.817,351.578,8.999,100.981,0.25,1.809,
8,199708,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,56.1535,1.0,111.511,1.0,21.037,0.987231,246.835,0.0,356.041,0,4.786,0.978495,101.047,0.0,0.336171980888,0.863575268817,1.206,1.0,2.231,1.0,380.032,1.0,,,22.214,23.588,246.835,356.041,8.519,101.047,1.569,1.465,
9,199709,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,39.8439,1.0,85.0922,1.0,19.079,0.990972,185.954,0.0,342.783,0,4.253,0.989583,101.272,0.0,0.300370465458,0.853472222222,0.387,1.0,2.062,1.0,382.173,1.0,,,20.098,21.534,185.954,342.783,6.72,101.272,0.83,1.346,
10,199710,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,43.3419,0.997312,37.4347,1.0,14.807,0.99328,111.97,0.0,328.149,0,2.726,0.986559,100.846,0.0,0.35705762183,0.91061827957,6.968,1.0,2.416,1.0,393.541,1.0,,,15.687,16.746,111.97,328.149,4.413,100.846,4.322,2.118,
11,199711,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,26.168,0.833333,-7.82494,0.833333,12.338,0.831944,60.866,0.0,318.978,0,1.342,0.828472,100.513,0.0,0.390732064213,0.769444444444,7.264,0.881944,2.533,0.832639,400.404,0.833333,,,12.463,13.259,60.866,318.978,3.202,100.513,7.588,2.33,
12,199712,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,25.3153,0.711022,-20.3164,0.711022,9.746,0.709677,58.448,0.0,286.112,0,2.11,0.709677,100.689,0.0,0.31342533984,0.645161290323,2.6,0.709005,2.401,0.707661,403.563,0.711022,,,9.352,10.308,58.448,286.112,3.167,100.689,2.812,2.18,
13,199801,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,16.8901,0.899866,-8.54457,0.903226,7.142,0.993952,73.604,0.0,281.884,0,1.186,0.990591,101.144,0.0,,,4.348,0.999328,2.157,0.900538,392.181,0.903226,,,8.679,9.851,73.604,281.884,3.184,101.144,1.808,1.885,
14,199802,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,32.0422,0.949405,14.6267,0.948661,8.389,0.993304,121.743,0.0,271.427,0,1.86,0.982887,101.611,0.0,,,3.421,0.998512,2.059,0.99628,400.668,0.950893,,,9.376,11.122,121.743,271.427,3.738,101.611,2.842,1.852,
15,199803,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,50.1405,0.99328,63.3701,1.0,9.098,0.985887,176.234,0.0,273.911,0,3.022,0.974462,101.238,0.0,,,3.226,1.0,2.598,1.0,392.429,1.0,,,9.345,10.752,176.234,273.911,4.044,101.238,2.453,2.387,
16,199804,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,45.6256,0.734028,99.6114,0.831944,12.685,0.492361,216.445,0.0,301.703,0,3.836,0.24375,100.517,0.0,,,2.572,0.494444,2.954,0.728472,390.414,0.984028,,,12.964,14.201,216.445,301.703,4.395,100.517,3.167,2.487,
17,199805,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,70.1222,0.653898,124.653,0.653226,15.92,0.991263,247.038,0.0,325.609,0,5.787,0.0,100.729,0.0,,,0.097,1.0,2.129,0.649194,389.25,0.653898,,,16.83,18.171,247.038,325.609,5.787,100.729,2.661,1.697,
18,199806,IT-Cpz,41.70525,12.37611,EBF,Temperate,,,,,86.1253,0.809722,126.17,0.809722,20.34,0.988889,295.548,0.0,339.799,0,8.411,0.0,101.102,0.0,,,0.033,1.0,2.383,0.999306,377.016,0.809722,,,21.139,22.568,295.548,339.799,8.411,101.102,0.459,1.754,
