Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,IT-Ro2,42.39026,11.92093,DBF,Temperate,-0.0179876,0.0353231,1.05591,0.995968,5.46997,1.0,11.093,1.0,7.9,1.0,82.855,1.0,289.817,0.0,1.864,0.0,99.875,0.721774,,,1.149,1.0,1.982,0.969086,385.62,1.0,0.362004109677419,0.149150699320787,5.539,7.322,81.266,289.817,1.864,100.446,0.567,1.397,1.0379223999999998
2,200202,IT-Ro2,42.39026,11.92093,DBF,Temperate,0.0873462,0.0862867,1.51015,0.965774,12.2093,0.988839,31.1051,0.998512,11.524,0.96131,92.498,0.957589,309.6,0.0,2.532,0.0,99.645,0.931548,0.352419487056,0.60193452381,1.353,0.994792,1.925,0.988095,385.047,1.0,1.75802391290323,0.4188410365917,9.733,11.412,108.558,309.6,2.532,99.683,1.73,1.638,1.5974962000000001
3,200203,IT-Ro2,42.39026,11.92093,DBF,Temperate,0.709197,0.618292,1.11296,1.0,19.2619,1.0,76.7714,1.0,13.159,1.0,172.568,1.0,309.033,0.0,4.441,0.0,99.592,1.0,0.464500607133,0.608198924731,0.475,1.0,2.371,0.991935,390.458,1.0,1.82815072333333,0.364708804303933,11.888,13.762,180.144,309.033,4.441,99.575,0.61,1.794,1.8221569999999998
4,200204,IT-Ro2,42.39026,11.92093,DBF,Temperate,2.09414,2.35855,1.07349,0.999306,34.2109,1.0,90.2502,1.0,14.427,1.0,196.087,1.0,321.728,0.0,4.583,0.0,99.209,1.0,0.416672447684,0.647916666667,1.466,0.991667,2.168,0.981944,386.918,1.0,1.36724611290323,0.232051494732268,13.748,15.37,215.689,321.728,4.583,99.183,2.98,1.699,3.16763
5,200205,IT-Ro2,42.39026,11.92093,DBF,Temperate,9.009,10.0838,-4.64625,0.995296,80.1804,0.999328,77.5753,1.0,18.224,1.0,248.843,1.0,336.618,0.0,6.657,0.0,99.415,1.0,0.381104334535,0.795698924731,2.651,1.0,1.744,0.995296,389.151,1.0,0.380054636428571,0.178153727730276,18.012,19.476,258.705,336.618,6.657,99.395,3.378,1.539,4.36275
6,200206,IT-Ro2,42.39026,11.92093,DBF,Temperate,7.0555,7.74547,-4.82622,0.993056,83.2489,0.999306,94.3053,0.999306,23.136,0.995139,279.321,1.0,353.983,0.0,11.945,0.0,99.539,1.0,0.407542502948,0.739583333333,0.763,1.0,1.758,0.9625,385.239,0.999306,1.14450466451613,0.284152235948216,23.313,24.85,291.265,353.983,11.945,99.568,1.61,1.452,2.22928
7,200207,IT-Ro2,42.39026,11.92093,DBF,Temperate,6.43746,7.08361,-3.52781,0.998656,84.1108,1.0,85.8476,1.0,23.552,1.0,259.626,1.0,355.369,0.0,9.177,0.0,99.292,1.0,0.40060587358,0.789650537634,3.415,1.0,1.873,0.995296,380.276,1.0,1.86895913,0.421729315287451,22.967,24.318,273.092,355.369,9.177,99.342,2.751,1.463,2.9096499999999996
8,200208,IT-Ro2,42.39026,11.92093,DBF,Temperate,8.15366,8.92727,-4.22196,0.997984,103.131,1.0,53.966,1.0,22.834,1.0,226.957,1.0,356.303,0.0,6.958,0.0,99.273,1.0,0.332220664561,0.82997311828,8.673,1.0,1.674,0.997312,382.955,1.0,3.91338833225806,0.579603416578783,22.055,23.496,229.051,356.303,6.958,99.329,4.369,1.399,3.9317
9,200209,IT-Ro2,42.39026,11.92093,DBF,Temperate,7.39159,7.8305,-3.56196,0.980556,78.9584,0.988194,22.5498,1.0,19.198,1.0,175.407,0.95625,337.993,0.0,4.402,0.0,99.405,1.0,0.334260060399,0.848611111111,3.093,0.999306,1.753,0.993056,386.143,1.0,3.05976072333333,0.538395027091202,18.018,19.442,169.196,337.993,4.402,99.433,4.024,1.398,3.82963
10,200210,IT-Ro2,42.39026,11.92093,DBF,Temperate,5.18679,5.59033,-2.14007,0.952285,56.9822,0.976478,11.1682,0.985887,16.935,1.0,126.276,0.914651,327.441,0.0,3.68,0.0,99.597,1.0,0.346615499371,0.748655913978,2.173,0.926747,1.774,0.99328,385.647,0.985887,3.13687560967742,0.468307314901314,15.899,17.454,128.657,327.441,3.68,99.561,2.469,1.724,3.04672
11,200211,IT-Ro2,42.39026,11.92093,DBF,Temperate,2.06615,2.31654,0.4815,0.9875,36.6707,0.990278,-16.9221,0.990972,15.465,0.990972,64.59,0.99375,325.214,0.0,2.825,0.0,99.244,1.0,0.432159548387,0.702083333333,2.892,1.0,2.297,0.8625,384.38,0.990972,3.09169549677419,0.48939206444371,13.656,14.826,74.933,325.214,2.825,99.23,3.088,2.262,2.54765
12,200212,IT-Ro2,42.39026,11.92093,DBF,Temperate,0.357543,0.337093,2.23213,0.998656,17.5765,0.999328,-5.00913,0.999328,11.302,1.0,47.408,1.0,318.818,0.0,1.595,0.0,99.436,1.0,0.420671805072,0.666666666667,3.965,0.99664,2.069,0.832661,394.787,0.999328,2.41391199666667,0.449723264832171,9.68,10.655,43.602,318.818,1.595,99.393,3.944,1.648,2.5896730000000003
