Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,DK-Sor,55.48587,11.64464,DBF,Temperate,8.14004,2.58508,-3.70259,0.0,,0.0,,0.0,-2.987,0.0,20.335,0.0,285.843,0.0,0.168,0.0,101.753,0.0,,,0.759,0.0,5.309,0.0,,,,,-2.987,-2.901,20.335,285.843,0.168,101.753,0.759,5.309,4.437450000000001
2,199602,DK-Sor,55.48587,11.64464,DBF,Temperate,7.62968,4.36095,-3.67488,0.0,,0.0,,0.0,-4.968,0.0,43.895,0.0,264.366,0.0,0.125,0.0,100.828,0.0,,,1.761,0.0,5.328,0.0,,,,,-4.968,-4.706,43.895,264.366,0.125,100.828,1.761,5.328,3.9547999999999996
3,199603,DK-Sor,55.48587,11.64464,DBF,Temperate,8.35779,7.82943,-3.70259,0.0,,0.0,,0.0,-2.107,0.0,109.515,0.0,259.601,0.0,0.524,0.0,101.564,0.0,,,0.341,0.0,4.791,0.0,,,,,-2.107,-1.642,109.515,259.601,0.524,101.564,0.341,4.791,4.6552
4,199604,DK-Sor,55.48587,11.64464,DBF,Temperate,10.0345,10.444,-3.68919,0.0,,0.0,,0.0,4.564,0.0,176.854,0.0,279.347,0.0,2.251,0.0,101.294,0.0,,,0.152,0.0,3.345,0.0,,,,,4.564,5.093,176.854,279.347,2.251,101.294,0.152,3.345,6.34531
5,199605,DK-Sor,55.48587,11.64464,DBF,Temperate,10.787,10.9369,-3.58132,0.0,,0.004032,,0.004032,7.962,0.00403226,183.736,0.0047043,310.672,0.0,2.189,0.00403226,100.672,0.0,,,1.575,0.0,4.311,0.0,,,,,7.952,8.315,183.736,310.672,2.191,100.672,1.575,4.311,7.205680000000001
6,199606,DK-Sor,55.48587,11.64464,DBF,Temperate,13.746,13.6705,-4.54192,0.829861,,0.879861,,0.878472,13.568,0.879861,213.367,0.881944,322.207,0.0,3.848,0.879861,101.14,0.870139,0.489573857879,0.844444444444,0.803,0.870139,4.492,0.870139,349.065,0.879861,,,12.893,13.256,235.833,322.207,3.869,101.094,0.504,4.186,9.204080000000001
7,199607,DK-Sor,55.48587,11.64464,DBF,Temperate,12.2188,12.4904,-4.1658,0.748656,,0.751344,,0.75336,14.767,0.754704,217.967,0.759409,330.792,0.0,4.549,0.754704,100.835,0.716398,0.610450558477,0.686827956989,0.93,0.71707,4.945,0.71707,332.074,0.751344,,,14.493,14.857,223.71,330.792,4.471,100.82,1.087,4.498,8.053
8,199608,DK-Sor,55.48587,11.64464,DBF,Temperate,6.9388,7.6616,-1.72589,0.9375,,0.94086,,0.941532,17.79,0.942876,186.571,0.94422,342.698,0.0,5.74,0.942876,101.14,0.920699,0.573508026856,0.897849462366,1.591,0.912634,4.838,0.912634,328.075,0.942876,,,17.542,17.864,184.089,342.698,4.876,101.037,2.434,4.397,5.21291
9,199609,DK-Sor,55.48587,11.64464,DBF,Temperate,5.26103,5.43918,-1.1395,0.979167,,0.98125,,0.982639,11.433,0.982639,121.557,0.984028,326.06,0.0,3.231,0.982639,101.126,0.94375,0.536060097073,0.910416666667,1.45,0.938194,5.0,0.938194,333.911,0.98125,,,12.431,12.772,115.865,326.06,4.095,101.074,2.389,4.809,4.12153
10,199610,DK-Sor,55.48587,11.64464,DBF,Temperate,1.7729,1.94402,1.41661,0.993952,,0.997312,,0.997312,9.355,0.997312,51.949,0.997312,322.008,0.0,1.057,0.997312,100.881,0.984543,0.51403003932,0.936827956989,1.835,0.975134,4.981,0.975134,316.124,0.972446,,,9.999,10.283,55.255,322.008,1.751,100.784,2.162,5.079,3.18951
11,199611,DK-Sor,55.48587,11.64464,DBF,Temperate,0.306978,0.499935,1.59308,0.994444,,1.0,,1.0,4.699,1.0,22.722,1.0,312.236,0.0,0.911,1.0,100.007,0.975694,0.686625211764,0.8625,2.786,0.971528,6.129,0.971528,304.913,0.780556,,,4.862,5.095,19.159,312.236,1.073,99.947,4.583,6.099,1.900058
12,199612,DK-Sor,55.48587,11.64464,DBF,Temperate,0.179788,0.124228,1.40582,0.744624,,0.748656,,0.748656,-1.08,0.748656,17.957,0.750672,286.871,0.0,0.512,0.748656,101.052,0.709005,0.494910495829,0.682123655914,1.079,0.705645,4.692,0.705645,304.388,0.721774,,,-0.369,-0.323,14.012,286.871,0.474,101.021,1.482,4.571,1.5856080000000001
13,199701,DK-Sor,55.48587,11.64464,DBF,Temperate,-0.0496091,0.133327,1.21806,0.849462,,0.861559,,0.862903,-1.516,0.866263,22.257,0.86828,286.216,0.0,0.314,0.866263,101.814,0.836694,0.48118911026,0.667338709677,0.104,0.832661,4.131,0.766801,308.85,0.77621,,,-1.42,-1.28,20.839,286.216,0.212,101.777,0.337,4.107,1.1684508999999998
14,199702,DK-Sor,55.48587,11.64464,DBF,Temperate,0.20414,0.233918,1.67397,0.977679,,0.980655,,0.980655,2.375,0.980655,42.056,0.985119,290.678,0.0,0.945,0.980655,100.48,0.936756,0.978519240725,0.886160714286,2.243,0.936756,7.71,0.936756,303.933,0.303571,,,1.981,2.296,42.824,290.678,0.826,100.4,2.737,6.836,1.87811
15,199703,DK-Sor,55.48587,11.64464,DBF,Temperate,0.502001,0.743889,1.52532,0.899866,,0.955645,,0.957661,3.472,0.957661,103.943,0.961694,284.451,0.0,1.629,0.957661,101.402,0.928091,0.752762731659,0.878360215054,0.683,0.928091,6.017,0.928091,303.258,0.0,,,2.92,3.407,95.206,284.451,1.393,101.368,1.117,5.338,2.027321
16,199704,DK-Sor,55.48587,11.64464,DBF,Temperate,1.93875,1.72981,1.0159,0.998611,,1.0,,0.999306,5.166,1.0,138.127,1.0,281.425,0.0,2.63,1.0,100.935,0.836111,0.789905061622,0.965972222222,1.1,0.997917,6.331,0.997222,303.029,0.61875,,,4.755,5.169,161.332,281.425,2.383,100.968,1.423,5.293,2.95465
17,199705,DK-Sor,55.48587,11.64464,DBF,Temperate,7.78004,7.70473,-1.95267,0.997984,,1.0,,1.0,9.515,1.0,188.917,1.0,309.525,0.0,3.104,1.0,100.936,1.0,0.641829158916,0.989919354839,2.021,0.997984,4.975,0.99664,305.015,0.764113,,,8.963,9.275,195.385,309.525,2.589,100.89,2.508,4.37,5.82737
18,199706,DK-Sor,55.48587,11.64464,DBF,Temperate,13.451,13.6544,-5.58112,0.685417,,0.685417,,0.685417,14.671,0.685417,243.191,0.686806,327.815,0.0,4.306,0.685417,100.563,0.681944,0.552321027983,0.655555555556,1.962,0.68125,4.581,0.677778,304.861,0.381944,,,14.381,14.719,238.272,327.815,4.2,100.538,2.144,4.331,7.86988
19,199707,DK-Sor,55.48587,11.64464,DBF,Temperate,10.7527,11.7062,-3.03287,0.612231,,0.615591,,0.616263,17.346,0.616263,231.048,0.618952,340.299,0.0,5.399,0.616263,101.082,0.602823,0.425132869442,0.570564516129,1.377,0.609543,3.939,0.608871,302.983,0.326613,,,17.489,17.818,226.066,340.299,5.037,101.058,1.672,3.657,7.719830000000001
20,199708,DK-Sor,55.48587,11.64464,DBF,Temperate,7.74473,8.10572,-1.10605,0.846102,,0.879032,,0.87836,20.776,0.879032,199.322,0.88172,355.842,0.0,7.494,0.879032,101.231,0.862903,0.389047129837,0.844758064516,1.228,0.862903,3.423,0.856855,305.268,0.21371,,,20.187,20.576,189.236,355.842,5.401,101.177,1.309,2.866,6.63868
21,199709,DK-Sor,55.48587,11.64464,DBF,Temperate,5.74271,5.92634,0.157018,0.995833,,1.0,,1.0,13.539,1.0,125.531,1.0,337.47,0.0,3.457,1.0,101.231,1.0,0.637174409684,0.988888888889,0.573,0.999306,5.671,0.997917,305.323,0.24375,,,14.04,14.413,112.134,337.47,4.14,101.233,1.22,5.173,5.899728
22,199710,DK-Sor,55.48587,11.64464,DBF,Temperate,2.26193,2.38587,2.14541,0.977151,,1.0,,1.0,7.845,1.0,56.697,0.948253,315.407,0.0,1.484,1.0,100.669,0.999328,0.616182612662,0.975134408602,3.303,0.999328,5.628,0.999328,303.335,0.294355,,,8.47,8.719,55.06,315.407,2.338,100.702,3.085,5.407,4.40734
23,199711,DK-Sor,55.48587,11.64464,DBF,Temperate,0.4473,0.540083,2.32715,0.99375,,0.995139,,0.995833,3.925,0.995833,21.73,0.934028,306.14,0.0,0.746,0.995833,100.697,1.0,0.559704240544,0.990972222222,1.727,0.992361,4.867,0.992361,304.453,0.864583,,,4.351,4.412,24.257,306.14,1.012,100.582,1.576,5.534,2.77445
24,199712,DK-Sor,55.48587,11.64464,DBF,Temperate,0.19756,0.180792,1.76307,0.850134,,0.850806,,0.850806,1.863,0.850806,10.656,0.853495,307.048,0.0,0.451,0.850806,100.612,0.806452,0.613186507478,0.769489247312,1.89,0.811828,4.886,0.811156,303.769,0.745296,,,1.963,2.056,10.989,307.048,0.326,100.562,2.077,5.164,1.9606299999999999
25,199801,DK-Sor,55.48587,11.64464,DBF,Temperate,0.188631,0.237781,2.08161,1.0,,1.0,,1.0,2.151,1.0,23.327,1.0,290.153,0.0,0.68,1.0,100.681,1.0,0.619287655609,0.967069892473,2.155,1.0,5.333,0.997984,305.521,0.813172,,,2.07,2.256,20.326,290.153,0.572,100.635,1.998,5.026,2.270241
26,199802,DK-Sor,55.48587,11.64464,DBF,Temperate,0.47361,0.640529,1.69029,0.999256,,1.0,,1.0,4.363,1.0,33.916,1.0,311.533,0.0,0.669,1.0,100.979,0.999256,0.923081619831,0.887648809524,1.936,0.999256,7.66,0.999256,308.282,0.0,,,3.968,4.214,35.188,311.533,0.659,100.983,1.817,6.705,2.1639
27,199803,DK-Sor,55.48587,11.64464,DBF,Temperate,1.13944,1.17522,1.34995,0.997984,,1.0,,1.0,3.142,1.0,103.58,1.0,285.193,0.0,1.628,1.0,101.129,0.999328,0.654570437254,0.864247311828,1.735,0.999328,5.891,0.998656,316.331,0.189516,,,3.188,3.582,95.521,285.193,1.668,101.085,2.276,5.454,2.48939
28,199804,DK-Sor,55.48587,11.64464,DBF,Temperate,2.63037,2.92126,1.13799,1.0,,1.0,,1.0,6.419,1.0,105.276,1.0,310.256,0.0,1.368,1.0,100.001,1.0,0.636945716559,0.979861111111,2.547,0.998611,4.877,0.998611,326.825,0.535417,,,5.813,6.066,129.119,310.256,1.026,99.899,3.151,4.503,3.7683600000000004
29,199805,DK-Sor,55.48587,11.64464,DBF,Temperate,11.0366,11.287,-3.02249,0.988575,,0.997312,,0.997312,11.751,0.997312,218.344,0.997984,310.04,0.0,3.754,0.997312,101.038,0.995968,0.606654209226,0.986559139785,0.91,0.995296,4.853,0.987903,361.08,0.997312,,,11.304,11.718,220.683,310.04,3.44,101.017,0.699,4.323,8.01411
30,199806,DK-Sor,55.48587,11.64464,DBF,Temperate,14.522,13.6731,-4.91361,0.997222,,1.0,,0.999306,13.944,1.0,205.77,1.0,334.494,0.0,3.288,1.0,100.719,1.0,0.60717219931,0.984027777778,2.12,0.998611,5.007,0.997917,356.583,1.0,,,13.94,14.209,218.508,334.494,3.999,100.677,3.16,4.537,9.60839
31,199807,DK-Sor,55.48587,11.64464,DBF,Temperate,11.9995,11.8401,-2.38481,0.875,,0.876344,,0.875672,14.242,0.876344,185.233,0.877016,339.737,0.0,3.032,0.876344,100.227,0.872984,0.6898577249,0.864919354839,3.205,0.872984,5.506,0.872312,343.093,0.875672,,,14.543,14.869,201.7,339.737,3.929,100.213,2.852,5.191,9.61469
32,199808,DK-Sor,55.48587,11.64464,DBF,Temperate,9.20373,9.03009,-0.390816,0.895161,,0.895833,,0.896505,14.481,0.896505,157.121,0.897849,341.519,0.0,3.339,0.896505,100.736,0.883065,0.678509276473,0.872983870968,2.191,0.882392,5.506,0.882392,348.685,0.895833,,,14.825,15.219,163.712,341.519,4.1,100.752,1.656,5.136,8.812914000000001
33,199809,DK-Sor,55.48587,11.64464,DBF,Temperate,5.32281,5.48874,0.623129,0.996528,,0.996528,,0.999306,12.98,0.999306,88.454,0.999306,346.651,0.0,1.769,0.999306,100.628,0.995833,0.551628428746,0.984722222222,1.083,0.995833,4.491,0.988194,353.406,0.996528,,,13.503,13.787,103.493,346.651,2.219,100.538,1.77,4.563,5.945938999999999
34,199810,DK-Sor,55.48587,11.64464,DBF,Temperate,1.76682,1.72183,2.64616,0.768817,,0.786962,,0.850134,8.229,0.850134,44.955,0.852823,326.663,0.0,1.422,0.850134,100.063,0.835349,0.844703604658,0.764784946237,5.707,0.835349,7.382,0.834677,354.108,0.785618,,,8.855,9.018,43.353,326.663,1.928,100.027,6.143,7.299,4.41298
35,199811,DK-Sor,55.48587,11.64464,DBF,Temperate,0.411454,0.409402,2.19813,0.997222,,0.998611,,0.998611,1.451,0.998611,23.297,0.998611,299.478,0.0,0.579,0.998611,101.133,0.997222,0.476736481909,0.973611111111,1.756,0.997222,4.338,0.997222,367.288,0.998611,,,2.102,2.238,22.15,299.478,0.848,101.072,2.311,4.613,2.609584
36,199812,DK-Sor,55.48587,11.64464,DBF,Temperate,0.0825571,0.140487,1.94769,0.977151,,0.993952,,0.995296,0.672,0.995296,15.41,0.995968,292.223,0.0,0.411,0.995296,100.91,0.974462,0.649396895902,0.874327956989,1.419,0.974462,5.723,0.97379,364.445,0.993952,,,1.126,1.245,12.893,292.223,0.464,100.865,2.413,5.654,2.0302471
37,199901,DK-Sor,55.48587,11.64464,DBF,Temperate,0.0571056,0.240173,2.20292,0.993952,,1.0,,1.0,1.537,1.0,14.254,0.995968,296.655,0.0,0.517,1.0,100.428,0.999328,0.661005511812,0.951612903226,2.355,0.999328,5.484,0.325269,361.448,1.0,,,1.626,1.914,15.413,296.655,0.469,100.363,2.722,5.632,2.2600256
38,199902,DK-Sor,55.48587,11.64464,DBF,Temperate,0.342608,0.433438,1.32263,0.984375,,1.0,,1.0,0.544,1.0,42.84,0.983631,284.002,0.0,0.614,1.0,100.083,0.997768,0.581030294824,0.828125,1.252,0.997768,5.553,0.231399,364.767,1.0,,,0.561,0.988,44.446,284.002,0.569,100.092,2.071,5.403,1.665238
39,199903,DK-Sor,55.48587,11.64464,DBF,Temperate,0.579694,0.651549,1.90509,0.979167,,0.982527,,0.983199,3.136,0.983199,67.278,0.984543,295.262,0.0,0.982,0.983199,100.508,0.971774,0.575404970467,0.936827956989,2.39,0.971774,4.984,0.971774,374.769,0.983199,,,2.547,2.829,76.348,295.262,0.776,100.431,3.471,4.525,2.484784
40,199904,DK-Sor,55.48587,11.64464,DBF,Temperate,3.01955,3.55566,1.30259,0.690278,,0.692361,,0.693056,7.256,0.693056,160.093,0.695139,293.665,0.0,2.139,0.693056,100.626,0.686806,0.712389559381,0.634027777778,1.178,0.686806,5.419,0.686806,370.437,0.692361,,,6.286,6.726,158.766,293.665,1.737,100.619,0.955,4.815,4.32214
41,199905,DK-Sor,55.48587,11.64464,DBF,Temperate,9.75602,8.97642,-2.38296,0.997984,,0.999328,,1.0,10.286,1.0,202.728,1.0,305.65,0.0,3.307,1.0,101.149,0.995296,0.60638065117,0.983870967742,1.639,0.992608,4.696,0.992608,365.5,0.999328,,,9.968,10.349,209.116,305.65,2.96,101.099,1.816,4.177,7.373059999999999
42,199906,DK-Sor,55.48587,11.64464,DBF,Temperate,14.4318,13.7513,-5.22934,0.994444,,0.999306,,1.0,13.545,1.0,215.477,1.0,328.136,0.0,2.792,1.0,101.057,1.0,0.481763147457,0.9875,3.507,0.996528,4.461,0.996528,361.101,0.999306,,,13.275,13.586,207.553,328.136,3.498,101.012,3.76,4.004,9.202460000000002
43,199907,DK-Sor,55.48587,11.64464,DBF,Temperate,13.6411,11.571,-2.71354,0.701613,,0.815188,,0.815188,17.854,0.81586,226.351,0.822581,344.024,0.0,5.671,0.81586,101.036,0.782258,0.501132908244,0.737231182796,1.155,0.787634,4.285,0.78629,355.727,0.815188,,,17.364,17.749,226.178,344.024,4.928,101.02,2.106,3.911,10.92756
44,199908,DK-Sor,55.48587,11.64464,DBF,Temperate,9.71333,9.78955,-1.66277,0.989919,,0.992608,,0.992608,16.684,0.992608,174.025,0.99328,341.883,0.0,4.24,0.992608,100.638,0.99664,0.461125086598,0.973790322581,4.572,0.978495,4.435,0.974462,365.646,0.992608,,,16.79,17.185,177.459,341.883,4.713,100.625,3.119,3.983,8.050559999999999
45,199909,DK-Sor,55.48587,11.64464,DBF,Temperate,7.40546,7.57861,-0.671231,1.0,,1.0,,1.0,15.823,1.0,125.771,1.0,340.06,0.0,2.673,1.0,100.733,1.0,0.53248427896,0.999305555556,1.693,1.0,4.803,0.999306,369.844,1.0,,,16.493,16.852,122.48,340.06,3.533,100.63,2.855,4.491,6.734229
46,199910,DK-Sor,55.48587,11.64464,DBF,Temperate,2.88479,3.03263,1.9342,1.0,,1.0,,1.0,9.039,1.0,61.853,1.0,324.266,0.0,1.292,1.0,100.841,1.0,0.653910094514,0.99126344086,2.273,0.999328,5.844,0.997312,369.024,1.0,,,9.945,10.14,57.472,324.266,2.215,100.797,2.931,5.927,4.81899
47,199911,DK-Sor,55.48587,11.64464,DBF,Temperate,0.429454,0.440143,3.13699,0.998611,,1.0,,1.0,4.928,1.0,22.592,1.0,306.936,0.0,0.759,1.0,101.223,0.996528,0.553532656643,0.988888888889,0.487,0.996528,5.111,0.993056,376.194,1.0,,,5.681,5.896,25.572,306.936,1.217,101.16,1.321,5.233,3.5664439999999997
48,199912,DK-Sor,55.48587,11.64464,DBF,Temperate,0.196926,0.322095,2.08906,0.986559,,0.990591,,0.990591,2.189,0.990591,12.671,0.991263,295.143,0.0,0.577,0.990591,99.519,0.959005,0.739122206368,0.739247311828,4.409,0.599462,6.229,0.926075,374.075,0.990591,,,2.369,2.468,11.485,295.143,0.672,99.505,4.771,6.679,2.285986
49,200001,DK-Sor,55.48587,11.64464,DBF,Temperate,0.218101,0.345242,1.64433,0.999328,,1.0,,1.0,2.107,1.0,20.25,1.0,294.076,0.0,0.817,1.0,100.969,1.0,0.740280298362,0.880376344086,1.445,0.999328,7.113,0.997312,377.641,1.0,,,2.465,2.614,18.158,294.076,0.807,100.978,2.077,6.43,1.862431
50,200002,DK-Sor,55.48587,11.64464,DBF,Temperate,0.519739,0.513427,1.51069,0.994253,,1.0,,1.0,2.925,1.0,37.349,0.997126,296.07,0.0,0.819,1.0,100.543,0.999282,0.765351126625,0.896551724138,1.948,0.999282,6.917,0.999282,376.777,1.0,,0.357033115706619,2.915,3.21,37.992,296.07,0.822,100.51,2.683,6.316,2.030429
51,200003,DK-Sor,55.48587,11.64464,DBF,Temperate,0.861197,1.09703,1.13814,0.53629,,0.540995,,0.540995,3.197,0.540995,82.602,0.543683,295.701,0.0,1.075,0.540995,100.739,0.464382,,,2.35,0.516129,5.808,0.256048,375.177,0.540995,,,3.145,3.465,84.925,295.701,1.022,100.772,2.329,5.434,1.999337
52,200004,DK-Sor,55.48587,11.64464,DBF,Temperate,3.65371,3.93184,0.924306,0.825694,,0.828472,,0.828472,8.038,0.829167,160.291,0.83125,299.93,0.0,2.517,0.829167,100.388,0.8125,0.522107343561,0.786805555556,1.113,0.804861,4.297,0.808333,372.007,0.828472,,,6.885,7.279,153.718,299.93,1.812,100.352,1.776,3.829,4.578016
53,200005,DK-Sor,55.48587,11.64464,DBF,Temperate,13.213,10.7591,-3.89867,0.96707,,0.975134,,0.975134,12.606,0.976478,226.152,0.976478,309.027,0.0,4.959,0.976478,101.036,0.99664,0.525218350015,0.962365591398,1.805,0.969086,4.586,0.961022,364.853,0.975134,,,11.985,12.383,217.551,309.027,4.229,100.967,2.183,4.063,9.314329999999998
54,200006,DK-Sor,55.48587,11.64464,DBF,Temperate,14.9531,13.824,-5.29131,0.990278,,0.996528,,0.997222,13.509,0.997222,203.904,0.997222,332.324,0.0,3.772,0.997222,101.013,1.0,0.596347677581,0.989583333333,1.72,0.994444,5.244,0.990972,361.927,0.997222,,0.263867648549897,13.62,13.948,215.316,332.324,4.503,101.016,1.614,4.975,9.66179
55,200007,DK-Sor,55.48587,11.64464,DBF,Temperate,12.371,12.4464,-3.93025,0.979167,,1.0,,1.0,14.738,1.0,172.221,1.0,339.16,0.0,3.183,1.0,100.328,0.999328,0.483573626322,0.993951612903,1.155,0.997984,4.373,0.99328,355.477,1.0,,0.357546558921409,14.673,15.0,211.311,339.16,3.615,100.357,1.159,4.055,8.440750000000001
56,200008,DK-Sor,55.48587,11.64464,DBF,Temperate,9.05049,9.33935,-2.00948,1.0,,1.0,,1.0,15.159,1.0,160.853,1.0,343.591,0.0,3.478,1.0,101.014,1.0,0.513037677927,0.993279569892,1.0,1.0,4.781,1.0,353.652,1.0,,0.569876865035453,15.424,15.833,165.918,343.591,4.052,101.009,1.354,4.244,7.04101
57,200009,DK-Sor,55.48587,11.64464,DBF,Temperate,5.55575,5.8445,-0.545759,0.998611,,1.0,,1.0,12.682,1.0,99.067,1.0,338.494,0.0,2.268,1.0,100.99,1.0,0.603753368794,0.995833333333,2.267,0.999306,5.051,0.997917,355.031,1.0,,0.635664330287833,13.645,13.92,105.873,338.494,3.229,100.903,2.628,5.266,5.009990999999999
58,200010,DK-Sor,55.48587,11.64464,DBF,Temperate,2.40477,2.51599,2.41065,1.0,,1.0,,1.0,10.497,1.0,47.37,1.0,327.932,0.0,0.998,1.0,100.541,1.0,0.589216279356,0.993951612903,2.548,1.0,5.28,0.587366,366.467,1.0,,0.618978130242888,11.09,11.258,52.239,327.932,1.714,100.417,2.882,5.419,4.81542
59,200011,DK-Sor,55.48587,11.64464,DBF,Temperate,0.566227,0.593884,3.09713,1.0,,1.0,,1.0,6.458,1.0,19.77,1.0,312.153,0.0,0.757,1.0,99.899,1.0,0.572868074185,0.995138888889,1.94,1.0,6.0,0.0,368.701,1.0,,0.48878076618094,6.879,6.845,23.248,312.153,0.958,99.747,3.094,6.0,3.663357
60,200012,DK-Sor,55.48587,11.64464,DBF,Temperate,0.323956,0.245242,2.49483,0.995968,,1.0,,1.0,3.354,1.0,11.049,0.997312,305.841,0.0,0.527,1.0,100.209,1.0,0.52402592701,0.970430107527,1.916,1.0,5.162,0.0322581,371.401,1.0,,0.423777192288829,3.78,3.909,11.777,305.841,0.662,100.151,2.735,5.118,2.818786
61,200101,DK-Sor,55.48587,11.64464,DBF,Temperate,0.290664,0.331194,1.9274,0.995968,1.88083,0.999328,-16.8923,1.0,1.196,1.0,14.466,0.998656,298.897,0.0,0.38,1.0,100.78,0.995968,0.548671078243,0.934811827957,1.361,0.995968,4.603,0.992608,370.729,1.0,0.750890887741935,0.244469339859574,1.023,1.167,17.853,298.897,0.264,100.702,1.83,4.681,2.218064
62,200102,DK-Sor,55.48587,11.64464,DBF,Temperate,0.25526,0.361673,1.45824,0.997024,7.89896,1.0,-33.0073,1.0,0.204,1.0,48.345,0.997024,281.142,0.0,0.759,1.0,100.879,0.998512,0.593414930209,0.906994047619,1.521,0.998512,5.653,0.770089,382.916,1.0,1.91372427096774,0.373919912441935,0.117,0.377,45.443,281.142,0.541,100.901,2.63,5.334,1.7135
63,200103,DK-Sor,55.48587,11.64464,DBF,Temperate,0.435259,0.494311,1.64028,0.980511,13.2504,0.989247,12.7318,0.989919,0.823,0.990591,91.661,0.982527,280.046,0.0,0.985,0.990591,100.23,0.983871,0.575175405892,0.960349462366,0.923,0.983871,5.082,0.139113,384.978,0.989919,1.15948234333333,0.255596760439042,0.485,0.869,91.043,280.046,0.988,100.18,2.128,5.051,2.075539
64,200104,DK-Sor,55.48587,11.64464,DBF,Temperate,1.74805,1.6442,1.33624,0.929167,21.0639,0.929861,21.5307,0.930556,5.178,0.932639,126.455,0.935417,294.051,0.0,1.625,0.932639,100.416,0.922222,0.590529179976,0.840277777778,1.929,0.9125,4.717,0.922222,374.501,0.929861,0.17611232,,4.527,4.915,139.945,294.051,1.463,100.406,2.266,4.249,3.08429
65,200105,DK-Sor,55.48587,11.64464,DBF,Temperate,10.3389,9.06266,-2.64268,0.995968,52.9837,1.0,40.8783,1.0,11.735,1.0,237.085,1.0,301.201,0.0,4.342,1.0,101.049,0.998656,0.565561557523,0.985215053763,1.062,0.990591,4.838,0.998656,366.65,1.0,0.731071729285714,0.235969930596451,10.379,10.854,229.015,301.201,3.508,101.102,0.863,3.971,7.69622
66,200106,DK-Sor,55.48587,11.64464,DBF,Temperate,15.3626,14.3458,-6.15679,1.0,62.1452,1.0,31.4928,1.0,12.541,1.0,229.062,1.0,324.007,0.0,3.063,1.0,100.733,1.0,0.523553047975,0.991666666667,1.572,0.991667,4.499,1.0,359.508,1.0,0.638923881612903,0.232797839848731,12.527,12.89,228.107,324.007,3.724,100.758,2.083,4.298,9.20581
67,200107,DK-Sor,55.48587,11.64464,DBF,Temperate,13.771,13.9977,-4.7142,0.997984,84.0944,1.0,33.2199,1.0,17.438,1.0,231.325,1.0,346.359,0.0,4.851,1.0,100.81,1.0,0.483172305984,0.984543010753,1.421,0.960349,4.109,1.0,349.727,1.0,1.10514195233333,0.275242626453195,17.019,17.336,225.254,346.359,4.639,100.802,1.923,3.702,9.0568
68,200108,DK-Sor,55.48587,11.64464,DBF,Temperate,9.57856,9.27367,-1.95182,0.991263,60.3357,1.0,-9.24746,1.0,16.576,1.0,161.432,1.0,352.934,0.0,3.584,1.0,100.843,1.0,0.580041096995,0.985215053763,4.87,0.948253,4.963,1.0,349.28,1.0,3.68937538064516,0.472403216977194,17.106,17.482,166.815,352.934,4.208,100.831,3.338,4.598,7.62674
