Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,IT-Noe,40.60618,8.15169,CSH,Temperate,4.31931,3.37307,-2.07563,0.0,69.6758,0.0,43.4113,0.0,9.983,0.0,77.037,0.0,328.261,0.0,2.85,0.0,101.004,0.0,,,1.632,0.0,1.657,0.0,,,0.825630478709677,0.308497460696156,9.983,10.825,77.037,328.261,2.85,101.004,1.632,1.657,2.24368
2,200402,IT-Noe,40.60618,8.15169,CSH,Temperate,4.38076,4.45643,-2.06284,0.0,63.4096,0.0,38.3658,0.0,10.29,0.0,113.859,0.0,332.007,0.0,2.849,0.0,101.525,0.0,,,1.477,0.0,1.424,0.0,,,1.2216602,0.269248165996225,10.29,11.266,113.859,332.007,2.849,101.525,1.477,1.424,2.3179200000000004
3,200403,IT-Noe,40.60618,8.15169,CSH,Temperate,4.57662,5.90362,-2.07563,0.0,66.1195,0.0,41.1955,0.0,10.944,0.0181452,176.499,0.0,324.24,0.0,3.263,0.0181452,101.577,0.0,,,0.91,1.0,1.612,0.0,,,1.09376217,0.27888339067957,10.926,12.111,176.499,324.24,3.23,101.577,1.555,1.612,2.5009900000000003
4,200404,IT-Noe,40.60618,8.15169,CSH,Temperate,5.70428,5.42498,-2.62269,0.749306,57.6803,0.782639,62.2637,0.782639,13.557,1.0,200.121,0.816667,335.634,0.815278,3.827,0.998611,101.02,0.532639,0.394171384247,0.511805555556,2.28,1.0,1.602,0.532639,380.303,0.786111,1.15317690333333,0.305363778044375,13.136,14.106,207.378,336.262,3.454,100.944,3.377,1.447,3.08159
5,200405,IT-Noe,40.60618,8.15169,CSH,Temperate,6.53886,5.74022,-2.68508,0.953629,68.1594,0.964382,89.2664,0.963038,15.966,1.0,248.394,0.997984,346.467,1.0,4.766,1.0,101.163,0.859543,0.260880704922,0.854838709677,2.265,1.0,1.511,0.859543,382.197,0.966398,1.10375335517241,0.29212138479192,15.655,16.772,254.648,341.562,4.289,101.054,2.302,1.369,3.8537799999999995
6,200406,IT-Noe,40.60618,8.15169,CSH,Temperate,5.77363,5.28885,-1.59509,0.939583,44.1746,0.998611,151.672,0.998611,20.472,1.0,319.106,1.0,360.121,1.0,7.417,1.0,101.48,0.786806,0.239648882962,0.786805555556,0.007,1.0,1.291,0.786806,380.107,0.998611,1.48556716129032,0.261169739943165,21.029,22.329,302.027,358.826,7.032,101.389,0.261,1.085,4.17854
7,200407,IT-Noe,40.60618,8.15169,CSH,Temperate,3.49237,3.21226,0.114033,0.972446,30.7503,0.984543,155.976,0.985887,23.092,1.0,316.738,1.0,369.04,1.0,9.947,1.0,101.454,1.0,0.258046275538,0.997311827957,0.0,1.0,1.328,1.0,369.359,1.0,1.78071591666667,0.322871507834371,23.642,24.996,296.441,369.04,8.981,101.314,0.098,1.077,3.6064030000000002
8,200408,IT-Noe,40.60618,8.15169,CSH,Temperate,1.77213,2.61672,0.778986,0.961694,14.3892,0.993952,140.864,0.99664,23.885,1.0,267.052,1.0,380.79,1.0,8.577,1.0,101.372,1.0,0.257186281901,0.999327956989,0.052,1.0,1.317,1.0,362.488,1.0,1.8803416,0.331382604409169,23.946,25.264,261.535,375.237,8.16,101.227,0.09,1.073,2.551116
9,200409,IT-Noe,40.60618,8.15169,CSH,Temperate,0.790423,0.876791,1.4138,0.943056,11.4055,0.999306,94.1406,0.999306,21.847,1.0,198.992,1.0,369.631,1.0,8.796,1.0,101.66,1.0,0.276628300866,0.991666666667,0.207,1.0,1.425,1.0,366.366,1.0,1.93095130666667,0.31042548651894,21.639,22.852,193.405,369.921,7.147,101.521,0.477,1.163,2.204223
10,200410,IT-Noe,40.60618,8.15169,CSH,Temperate,0.817259,1.58329,2.02499,0.952957,26.0936,0.999328,44.3871,0.999328,19.575,1.0,139.36,1.0,365.611,1.0,5.61,1.0,101.35,1.0,0.241080635226,0.969086021505,3.897,1.0,1.273,1.0,386.901,0.999328,1.66875278709677,0.275489561031981,19.276,20.472,132.162,364.705,5.379,101.223,1.256,1.187,2.842249
11,200411,IT-Noe,40.60618,8.15169,CSH,Temperate,1.60952,2.76949,0.243486,0.131944,26.427,0.242361,3.44497,0.242361,14.221,1.0,80.062,1.0,343.651,1.0,3.829,1.0,101.311,0.0666667,,,2.153,1.0,1.497,0.0666667,401.558,0.123611,1.57343364516129,0.25422013546981,13.94,14.791,83.068,350.182,3.461,101.303,2.349,1.491,1.8530060000000002
12,200412,IT-Noe,40.60618,8.15169,CSH,Temperate,1.73139,2.17338,-0.165878,0.198253,27.9376,0.19422,-28.1278,0.192204,12.35,1.0,60.323,1.0,335.766,1.0,2.958,1.0,101.207,0.0,,,3.813,1.0,1.717,0.0,390.33,0.194892,1.25589698,0.256436636521548,12.158,12.771,56.378,347.496,2.679,101.207,4.748,1.717,1.565512
13,200501,IT-Noe,40.60618,8.15169,CSH,Temperate,2.22306,2.40632,-0.978464,0.907258,26.4912,0.997984,-4.99025,0.997984,8.794,1.0,74.935,1.0,314.623,1.0,2.595,1.0,101.989,0.990591,0.277958163269,0.911962365591,1.252,1.0,1.383,0.990591,394.406,0.997984,1.18919404516129,0.320564764143897,8.971,10.018,88.169,318.064,2.917,101.718,1.152,1.667,1.2445959999999998
14,200502,IT-Noe,40.60618,8.15169,CSH,Temperate,2.60175,2.48103,-1.40746,0.973214,37.7363,0.999256,4.58665,1.0,8.256,1.0,107.221,1.0,306.411,1.0,3.363,1.0,101.306,1.0,0.377777623626,0.978422619048,3.136,1.0,1.863,1.0,390.431,1.0,1.27692339032258,0.292626053494592,8.101,8.982,113.007,317.33,3.108,101.054,2.588,1.917,1.19429
