Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,CH-Cha,47.21022,8.41044,GRA,Continental,-2.10104,4.43001,5.75032,0.0,147.876,0.0,28.7249,0.0,-0.541,0.0,50.377,0.0,283.834,0.0,0.734,0.0,97.635,0.0,,,2.568,0.0,1.266,0.0,,,2.77629111612903,0.350984266318707,-0.541,1.133,50.377,283.834,0.734,97.635,2.568,1.266,3.6492800000000005
2,200502,CH-Cha,47.21022,8.41044,GRA,Continental,-2.52842,5.87969,5.75631,0.0,142.096,0.0,27.2722,0.0,-1.555,0.0,77.984,0.0,285.233,0.0,0.44,0.0,96.985,0.0,,,2.94,0.0,1.176,0.0,,,4.8602745483871,0.460323446093521,-1.555,-0.319,77.984,285.233,0.44,96.985,2.94,1.176,3.22789
3,200503,CH-Cha,47.21022,8.41044,GRA,Continental,-0.378569,8.66748,5.74549,0.0,137.626,0.0,26.2888,0.0,4.149,0.0,145.641,0.0,294.401,0.0,1.58,0.0,97.055,0.0,,,1.724,0.0,0.951,0.0,,,4.36691473666667,0.380420708798614,4.149,6.163,145.641,294.401,1.58,97.055,1.724,0.951,5.3669210000000005
4,200504,CH-Cha,47.21022,8.41044,GRA,Continental,1.46328,9.57492,5.75052,0.0,127.695,0.0,24.5703,0.0,9.0,0.0,172.104,0.0,316.942,0.0,3.193,0.0,96.9,0.0,,,3.25,0.0,1.054,0.0,,,2.95534776451613,0.223842353508183,9.0,10.402,172.104,316.942,3.193,96.9,3.25,1.054,7.2138
5,200505,CH-Cha,47.21022,8.41044,GRA,Continental,3.61956,11.1852,5.75032,0.0,120.265,0.0,23.3614,0.0,13.46,0.0,217.576,0.0,330.716,0.0,4.76,0.0,97.251,0.0,,,4.127,0.0,0.959,0.0,,,2.92365007857143,0.410015424185222,13.46,14.736,217.576,330.716,4.76,97.251,4.127,0.959,9.36988
6,200506,CH-Cha,47.21022,8.41044,GRA,Continental,5.86239,12.6077,5.75052,0.0,112.928,0.0,21.7289,0.0,17.837,0.0,261.835,0.0,344.609,0.0,6.934,0.0,97.454,0.0,,,2.272,0.0,0.933,0.0,,,3.95161737741936,0.402553217094426,17.837,19.184,261.835,344.609,6.934,97.454,2.272,0.933,11.61291
7,200507,CH-Cha,47.21022,8.41044,GRA,Continental,6.13826,11.7074,5.61489,0.0504032,107.212,0.134409,20.3294,0.170699,18.179,0.0,217.192,0.0,356.704,0.0,5.517,0.0,97.25,0.0,,,3.638,0.0,1.043,0.168683,,,6.03607627333333,0.564355158782141,18.179,19.397,217.192,356.704,5.517,97.25,3.638,1.053,11.75315
8,200508,CH-Cha,47.21022,8.41044,GRA,Continental,12.2699,10.0644,-1.44601,0.0719086,89.4429,0.160618,13.108,0.209005,16.116,0.0,181.169,0.0,349.647,0.0,4.023,0.0,97.315,0.0,,,5.033,0.0,0.955,0.206989,428.653,0.214382,6.31565681290323,0.570453701817841,16.116,17.304,181.169,349.647,4.023,97.315,5.033,0.925,10.82389
9,200509,CH-Cha,47.21022,8.41044,GRA,Continental,9.96906,8.56214,0.633308,0.775,60.0294,0.827083,11.7608,0.854167,15.438,0.730556,146.014,0.732639,348.969,0.73125,3.385,0.730556,97.411,0.0,0.119219256545,0.780555555556,3.727,0.71875,0.928,0.852083,452.201,0.854861,6.36971423333333,0.59847146606921,15.429,16.804,149.561,345.559,3.592,97.411,2.342,0.857,10.602368
10,200510,CH-Cha,47.21022,8.41044,GRA,Continental,9.04672,6.98717,-1.05637,0.827957,24.8159,0.961694,8.99269,0.959005,11.462,0.462366,84.108,1.0,333.485,1.0,2.025,0.459677,97.482,0.0,0.0993412056303,0.58064516129,2.604,1.0,0.923,0.624328,458.011,0.965726,6.3827797516129,0.600799151957009,11.807,13.82,106.266,319.529,2.831,97.482,1.92,0.913,7.99035
11,200511,CH-Cha,47.21022,8.41044,GRA,Continental,3.81761,3.39963,-0.36465,0.986111,12.1102,1.0,2.1704,1.0,3.313,0.4,50.123,1.0,296.677,1.0,0.961,0.4,97.183,0.0,0.119521725721,0.822222222222,1.339,1.0,0.974,0.918056,453.855,1.0,6.27928453870968,0.576959033565116,4.066,5.449,61.009,295.68,1.048,97.183,1.523,0.934,3.45296
12,200512,CH-Cha,47.21022,8.41044,GRA,Continental,0.513419,0.546778,1.16955,0.892473,7.29921,0.994624,-2.33691,1.0,-0.652,1.0,26.967,0.998656,288.512,1.0,0.486,1.0,97.083,0.0,0.108162450892,0.864919354839,1.746,0.999328,1.009,0.998656,441.125,1.0,5.85610504333333,0.531345950329176,-1.063,-0.035,37.533,290.328,0.322,97.083,2.68,1.08,1.682969
13,200601,CH-Cha,47.21022,8.41044,GRA,Continental,0.660963,0.800582,0.507959,0.99328,10.6756,0.994624,1.84991,0.998656,-2.326,1.0,41.062,1.0,275.687,1.0,0.422,1.0,97.719,0.985887,0.108608717603,0.819892473118,0.551,0.998656,1.06,0.986559,433.455,0.998656,2.97135436451613,0.18755354675301,-1.641,0.448,60.238,270.17,0.523,97.535,1.188,0.989,1.168922
14,200602,CH-Cha,47.21022,8.41044,GRA,Continental,1.26963,0.848601,0.938485,0.964286,16.9385,0.997768,-0.46303,1.0,0.08,1.0,53.612,1.0,287.958,1.0,0.792,1.0,96.903,1.0,0.127681479394,0.840029761905,1.246,1.0,1.352,1.0,416.531,1.0,5.12676168709677,0.465884367814533,0.015,1.493,80.153,286.206,0.658,96.737,2.232,1.095,2.2081150000000003
15,200603,CH-Cha,47.21022,8.41044,GRA,Continental,2.21824,1.90134,0.887648,0.958333,40.5644,0.986559,5.37598,0.987231,3.056,1.0,124.488,1.0,291.606,1.0,1.501,1.0,96.635,0.856855,0.15154563204,0.734543010753,4.435,1.0,1.607,0.877688,412.049,0.991935,4.51217038333333,0.467771301624855,2.393,3.91,126.451,295.277,1.165,96.522,5.517,1.361,3.105888
16,200604,CH-Cha,47.21022,8.41044,GRA,Continental,10.0802,8.62138,-3.882,0.934722,66.6632,0.985417,14.0326,1.0,8.319,1.0,165.366,1.0,315.297,1.0,2.002,1.0,96.979,0.99375,0.129923833974,0.893055555556,5.641,1.0,1.205,0.993056,431.08,0.999306,3.46132229032258,0.451090330179648,7.541,9.079,173.126,314.003,2.083,96.959,3.507,0.991,6.1982
17,200605,CH-Cha,47.21022,8.41044,GRA,Continental,10.819,10.85,-2.43203,0.944892,84.6637,0.99664,12.3174,0.997984,13.251,1.0,193.455,1.0,337.138,1.0,3.185,1.0,97.201,0.995296,0.154092333496,0.889112903226,5.425,1.0,1.246,0.994624,415.139,0.999328,2.30873947857143,,13.153,14.271,193.844,339.826,3.943,97.23,4.431,1.175,8.386970000000002
18,200606,CH-Cha,47.21022,8.41044,GRA,Continental,13.2783,12.0474,-1.0885,0.895833,119.549,0.995139,21.8016,1.0,17.459,1.0,273.747,0.988889,344.854,0.997222,5.324,1.0,97.489,0.896528,0.128367624337,0.884027777778,2.622,0.997917,0.927,1.0,426.689,1.0,2.70477760645161,0.407523780341675,17.633,19.117,270.689,342.516,6.806,97.558,1.967,0.831,12.1898
19,200607,CH-Cha,47.21022,8.41044,GRA,Continental,13.0385,10.8218,-0.275448,0.913978,127.442,0.99664,19.7895,0.997984,21.749,1.0,279.695,1.0,365.683,1.0,8.017,1.0,97.44,0.692204,0.131569725174,0.786962365591,1.754,0.674731,0.908,0.935484,422.48,0.997984,5.54194268666667,0.475582804613601,22.369,23.914,272.392,361.169,9.883,97.54,1.697,0.767,12.763052
20,200608,CH-Cha,47.21022,8.41044,GRA,Continental,11.9205,9.97571,0.314545,0.978495,80.5937,0.999328,8.55686,0.999328,14.987,1.0,158.259,1.0,355.558,1.0,2.018,1.0,96.933,0.956317,0.134482158201,0.837365591398,7.362,1.0,1.133,0.957661,418.683,0.999328,6.11210542903226,0.556608737538183,14.558,15.531,159.385,348.424,2.687,96.967,5.968,1.051,12.235045000000001
21,200609,CH-Cha,47.21022,8.41044,GRA,Continental,11.708,9.30724,1.95041,0.976389,61.5578,1.0,11.7615,1.0,16.732,1.0,149.264,1.0,357.837,1.0,1.824,1.0,97.132,0.979167,0.107410784999,0.901388888889,3.499,1.0,0.857,1.0,445.554,1.0,6.13725331333333,0.561370996065123,17.37,18.984,151.286,352.36,4.697,97.23,3.159,0.891,13.65841
22,200610,CH-Cha,47.21022,8.41044,GRA,Continental,6.4934,5.85965,1.28704,0.918011,33.304,0.985215,6.11063,0.997312,12.433,1.0,95.822,1.0,335.027,1.0,0.958,1.0,97.122,1.0,0.104952767067,0.905241935484,2.243,1.0,0.843,1.0,478.751,1.0,6.47818566451613,0.579424269636747,13.109,14.794,104.281,329.735,3.183,97.17,1.512,1.113,7.7804400000000005
23,200611,CH-Cha,47.21022,8.41044,GRA,Continental,4.08814,3.51203,0.557665,0.975,15.2646,0.988889,0.531948,0.997222,5.736,1.0,54.519,1.0,305.649,1.0,0.455,1.0,97.496,1.0,0.106451398702,0.888888888889,1.26,0.998611,0.908,1.0,457.888,1.0,5.91243180645161,0.610478366985543,6.989,8.252,55.302,312.05,1.616,97.459,2.016,1.267,4.645805
24,200612,CH-Cha,47.21022,8.41044,GRA,Continental,2.22141,2.01481,0.276776,0.967742,7.59613,0.998656,0.475675,0.999328,2.037,1.0,31.969,1.0,299.028,1.0,0.224,1.0,98.008,0.999328,0.10537898906,0.887768817204,1.619,1.0,0.926,1.0,412.201,1.0,6.22847000666667,0.541141604451685,3.276,4.744,47.898,290.09,1.308,97.868,1.496,1.167,2.498186
25,200701,CH-Cha,47.21022,8.41044,GRA,Continental,2.44039,2.69935,1.04416,0.963038,18.5541,0.984543,-11.1955,0.999328,4.026,1.0,42.895,0.992608,299.205,1.0,0.733,1.0,97.639,0.889785,0.160994694822,0.889784946237,2.354,0.999328,1.703,0.991935,418.632,0.998656,3.87198247096774,0.319867390063859,3.566,4.648,39.353,312.491,0.71,97.506,3.289,1.505,3.4845499999999996
26,200702,CH-Cha,47.21022,8.41044,GRA,Continental,5.29232,4.79544,-2.4958,0.930804,23.1562,0.96503,-1.26981,1.0,3.699,1.0,75.491,1.0,289.178,1.0,0.673,1.0,96.788,0.998512,0.124909548556,0.883928571429,2.46,1.0,1.161,0.997768,438.062,0.998512,5.03304157096774,0.499742459691648,4.284,5.876,73.144,303.437,1.087,96.741,2.892,1.239,2.79652
27,200703,CH-Cha,47.21022,8.41044,GRA,Continental,9.39134,8.36883,-5.90734,0.956317,47.3099,0.983871,9.27467,0.998656,5.171,1.0,140.946,0.999328,289.364,1.0,1.596,1.0,97.006,0.995296,0.131598433655,0.899193548387,2.919,1.0,1.243,0.993952,437.559,0.995968,3.88712849,0.47053671283671,5.04,6.646,136.5,299.367,1.641,96.972,3.277,1.121,3.484
28,200704,CH-Cha,47.21022,8.41044,GRA,Continental,11.9502,11.5078,-5.21683,0.903472,91.0091,0.972222,20.3512,0.998611,12.286,1.0,247.184,1.0,299.223,1.0,5.377,1.0,97.23,1.0,0.128376486519,0.880555555556,0.338,0.999306,0.983,1.0,444.522,0.999306,3.01758927741935,0.466879269097692,12.794,14.981,241.54,309.167,5.853,97.349,0.424,0.822,6.733370000000001
29,200705,CH-Cha,47.21022,8.41044,GRA,Continental,11.1343,10.4314,-1.38676,0.946237,106.929,0.989247,12.7272,1.0,14.956,0.998656,224.1,0.998656,336.646,0.998656,4.414,0.998656,96.703,0.96371,0.172337517354,0.905913978495,5.369,0.992608,1.483,0.997312,413.983,1.0,4.79807766785714,0.457221759631054,14.308,15.523,203.454,338.344,4.637,96.789,5.606,1.126,9.747539999999999
30,200706,CH-Cha,47.21022,8.41044,GRA,Continental,15.2112,16.1678,0.174945,0.997917,117.809,0.997917,10.9807,0.998611,17.784,1.0,229.523,1.0,357.51,1.0,4.36,0.221528,96.866,0.808333,0.147372197937,0.752777777778,5.422,1.0,1.075,0.826389,404.718,0.998611,5.65737592580645,0.516791963773239,17.057,18.223,221.465,353.114,4.301,96.948,4.773,0.966,15.386144999999999
31,200707,CH-Cha,47.21022,8.41044,GRA,Continental,12.1133,12.4403,0.883673,0.999328,110.91,1.0,12.0651,1.0,17.99,1.0,227.553,1.0,355.356,1.0,5.711,0.0,97.098,0.921371,0.152721533546,0.939516129032,6.254,1.0,1.176,0.999328,395.071,1.0,6.27801226333333,0.568219064350536,17.84,19.062,231.831,353.125,5.711,97.175,5.323,1.143,12.996973
32,200708,CH-Cha,47.21022,8.41044,GRA,Continental,12.346,9.61738,2.89678,0.926075,77.8163,0.976478,14.9236,0.981855,17.423,1.0,179.572,1.0,358.963,1.0,4.254,0.0,97.052,0.889113,0.115086808163,0.627688172043,7.103,1.0,0.808,0.689516,400.897,0.981855,6.47328159354839,0.576076188596394,17.164,18.416,180.871,355.877,4.254,97.135,6.077,0.82,15.24278
33,200709,CH-Cha,47.21022,8.41044,GRA,Continental,8.3662,9.44513,0.916115,1.0,67.6136,1.0,14.6898,1.0,13.304,1.0,162.25,1.0,331.794,1.0,2.924,0.0,97.447,0.999306,0.113555126016,0.826388888889,2.191,1.0,0.867,0.907639,433.046,1.0,6.55067272333333,0.615478018201271,12.59,14.022,144.708,333.755,2.924,97.486,2.607,0.893,9.282314999999999
34,200710,CH-Cha,47.21022,8.41044,GRA,Continental,5.59067,5.41175,3.55014,0.788306,32.6058,0.800403,4.15546,0.818548,9.496,1.0,89.171,1.0,319.377,1.0,2.114,0.0,97.637,0.99664,0.100455317409,0.533602150538,1.283,0.997984,0.905,0.584677,477.225,0.819892,6.37297732903226,0.581980029420733,9.25,11.115,116.24,312.108,2.114,97.632,0.489,0.818,9.14081
35,200711,CH-Cha,47.21022,8.41044,GRA,Continental,2.91448,2.21675,0.930896,0.986806,25.8171,0.991667,-9.07266,0.994444,2.812,1.0,41.807,1.0,292.254,1.0,0.608,0.0784722,97.428,0.999306,0.146524512954,0.661805555556,1.22,0.999306,1.274,0.776389,417.13,0.995139,6.09389788387097,0.573582858380071,2.491,3.63,46.802,305.72,0.531,97.303,3.687,1.296,3.845376
36,200712,CH-Cha,47.21022,8.41044,GRA,Continental,1.71494,1.27523,0.957355,0.986559,15.5368,0.997984,-3.76141,1.0,0.884,1.0,27.601,1.0,300.643,1.0,0.942,1.0,97.792,1.0,0.134982221736,0.902553763441,2.791,1.0,1.298,1.0,416.595,1.0,5.99945319666667,0.522782246153214,0.964,2.354,40.755,290.071,0.633,97.621,3.306,1.242,2.672295
37,200801,CH-Cha,47.21022,8.41044,GRA,Continental,3.20228,2.69367,-0.78805,0.977823,10.367,0.993952,-1.03526,0.999328,1.432,1.0,51.35,1.0,281.106,1.0,1.011,1.0,97.543,0.999328,0.102471503234,0.875672043011,1.355,1.0,0.909,1.0,442.694,0.997984,3.33926918387097,0.436569803144434,2.928,4.328,49.525,294.371,1.151,97.433,1.913,1.281,2.41423
38,200802,CH-Cha,47.21022,8.41044,GRA,Continental,4.92975,4.26087,-0.724776,0.948276,22.9449,0.987787,6.86933,1.0,2.281,1.0,96.915,1.0,274.553,1.0,1.665,1.0,98.047,0.999282,0.111565181737,0.882902298851,1.035,0.997126,0.912,0.998563,440.993,0.994253,4.80214817741935,0.462229909055145,3.363,5.367,98.32,284.585,1.592,97.952,1.204,1.021,4.204974
39,200803,CH-Cha,47.21022,8.41044,GRA,Continental,7.85841,6.75098,-0.710391,0.985215,51.166,0.993952,5.28051,0.997984,4.975,1.0,130.496,1.0,293.647,1.0,2.687,1.0,96.417,0.985215,0.213466923377,0.866935483871,2.392,1.0,1.922,0.984543,403.93,0.998656,4.23343196,0.386072317328402,3.525,4.661,123.865,303.5,1.281,96.33,4.096,1.575,7.148019
40,200804,CH-Cha,47.21022,8.41044,GRA,Continental,9.45636,12.0136,-3.04807,0.950694,58.1647,0.990972,17.1382,0.989583,8.107,1.0,153.675,1.0,314.353,1.0,2.706,1.0,96.574,1.0,0.256942699023,0.867361111111,4.825,1.0,1.729,0.999306,432.755,0.997917,2.78444244,0.391569596219456,7.594,8.76,154.205,321.433,2.078,96.572,4.569,1.092,6.40829
41,200805,CH-Cha,47.21022,8.41044,GRA,Continental,12.2907,12.7118,0.701804,0.969758,94.6047,0.987231,25.0941,0.964382,15.311,1.0,238.205,1.0,328.099,1.0,6.392,1.0,96.781,0.991263,0.297312190171,0.844086021505,1.848,1.0,1.51,0.999328,426.71,0.999328,3.83350993103448,0.386276027969199,15.207,16.688,244.086,334.538,6.18,96.925,1.377,0.956,12.992503999999998
42,200806,CH-Cha,47.21022,8.41044,GRA,Continental,10.87,11.0921,-0.921573,0.979861,107.971,0.996528,22.0734,0.995139,17.853,1.0,231.15,1.0,357.799,1.0,5.794,1.0,97.111,0.920139,0.210187345313,0.840277777778,5.379,0.995833,1.166,0.997917,432.544,0.999306,4.48488425483871,0.459448864743055,17.024,18.108,209.601,357.019,4.451,97.213,3.254,0.826,9.948426999999999
43,200807,CH-Cha,47.21022,8.41044,GRA,Continental,9.78427,11.6575,-3.13049,0.961022,112.773,0.983199,19.6949,0.991263,18.677,1.0,241.541,1.0,355.0,1.0,6.241,1.0,97.145,0.924731,0.238251540536,0.849462365591,6.05,0.998656,1.62,0.999328,436.416,1.0,6.24629344333333,0.570673204232805,18.109,19.333,228.486,353.795,5.645,97.239,5.021,0.932,6.653779999999999
44,200808,CH-Cha,47.21022,8.41044,GRA,Continental,10.2322,12.7613,1.77426,0.968414,90.0251,0.977823,17.3779,1.0,17.945,1.0,197.437,1.0,356.006,1.0,4.67,1.0,97.078,0.961022,0.161228640437,0.881048387097,4.529,1.0,1.129,0.995968,445.704,0.989919,6.39454988387097,0.54670629724183,17.96,19.338,199.837,354.629,4.882,97.17,3.792,0.891,12.00646
45,200809,CH-Cha,47.21022,8.41044,GRA,Continental,9.48574,8.21225,1.45885,0.986111,58.8674,0.991667,7.41619,0.998611,12.83,1.0,130.453,1.0,334.479,1.0,2.746,1.0,97.223,0.996528,0.135092358549,0.927083333333,3.727,1.0,1.109,1.0,474.926,1.0,6.12769020666667,0.568975756591803,12.785,14.22,142.491,333.932,2.931,97.256,3.86,0.97,10.94459
46,200810,CH-Cha,47.21022,8.41044,GRA,Continental,5.7704,5.98275,0.890423,0.977823,39.1317,0.983199,5.59471,0.997984,10.133,1.0,90.751,0.998656,328.701,1.0,1.9,1.0,97.31,0.994624,0.1206247152,0.909274193548,3.05,1.0,1.102,0.993952,474.9,0.997984,6.36762970645161,0.594749419827348,10.186,11.746,91.479,326.258,2.02,97.301,3.224,0.948,6.660823000000001
47,200811,CH-Cha,47.21022,8.41044,GRA,Continental,3.72572,3.21643,0.0734983,0.967361,18.4095,0.969444,-0.794324,0.995833,3.764,1.0,51.268,1.0,298.04,1.0,0.788,1.0,96.991,0.985417,0.117894264431,0.802777777778,1.124,0.998611,1.083,0.929167,484.333,0.99375,6.34716921290323,0.610768297007323,4.672,6.027,56.376,306.031,0.955,96.916,2.219,1.103,3.7992182999999997
48,200812,CH-Cha,47.21022,8.41044,GRA,Continental,2.06766,2.74569,0.51252,0.254704,7.84866,0.261425,-4.94084,0.259409,0.49,1.0,28.838,1.0,292.269,1.0,0.549,1.0,97.219,0.985887,,,1.729,1.0,1.253,0.851478,443.371,0.999328,6.05898371333333,0.545301693477968,0.93,1.905,35.858,296.805,0.512,97.091,2.533,1.119,2.58018
49,200901,CH-Cha,47.21022,8.41044,GRA,Continental,3.90388,3.36202,-0.340355,0.0,18.2097,0.0,-4.39067,0.0,-1.625,1.0,34.77,0.99664,289.54,1.0,0.543,1.0,96.918,0.987903,,,1.258,1.0,1.688,0.828629,449.91,0.995968,3.09149246451613,0.388158509636065,-1.098,0.672,57.092,272.324,0.72,96.722,1.152,0.991,3.563525
50,200902,CH-Cha,47.21022,8.41044,GRA,Continental,4.53896,6.44611,0.0694083,0.0,15.0327,0.0,-5.86633,0.0,0.181,1.0,77.557,1.0,283.558,1.0,0.897,1.0,96.893,0.999256,,,1.976,1.0,1.871,0.934524,453.346,1.0,5.07767774193548,0.51420419682328,0.172,1.624,74.768,293.361,0.645,96.727,2.842,1.117,4.6083683
51,200903,CH-Cha,47.21022,8.41044,GRA,Continental,5.59505,8.98362,0.74207,0.0,11.9343,0.0,-8.24824,0.0,4.37,1.0,118.882,1.0,297.481,1.0,2.07,1.0,96.996,0.995296,,,2.96,0.997984,2.526,0.99328,455.077,0.999328,4.69103300333333,0.506144059961369,3.216,4.587,121.569,301.504,1.047,96.881,4.029,1.258,6.33712
52,200904,CH-Cha,47.21022,8.41044,GRA,Continental,8.28499,12.9391,0.721784,0.0,85.9682,0.0,5.23891,0.0,10.9,1.0,208.869,1.0,304.388,1.0,4.749,1.0,96.745,0.997917,,,0.597,1.0,1.903,0.997917,406.652,0.965972,3.44250567806452,0.436619806338062,10.332,12.228,206.457,308.868,3.84,96.832,1.24,0.958,9.006774
53,200905,CH-Cha,47.21022,8.41044,GRA,Continental,10.3727,13.3898,0.646437,0.0,111.803,0.0,12.1571,0.0,15.472,1.0,234.281,1.0,338.05,1.0,5.505,1.0,97.403,0.376344,,,3.607,1.0,1.316,0.964382,393.281,0.543011,3.23775526428571,0.312571190247648,15.079,16.55,232.255,336.493,4.801,97.434,3.352,0.952,11.019137
