Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,BE-Lon,50.55162,4.74623,CRO,Temperate,-0.108273,0.0501361,1.41076,0.0,47.445,0.0,16.1168,0.0,3.727,0.0,23.401,0.675403,298.774,0.0,0.518,0.0,98.946,0.0,,,2.845,0.0,3.922,0.0,,,0.123360449032258,0.244531464428382,3.727,4.279,23.469,298.774,0.518,98.946,2.845,3.922,1.302487
2,200402,BE-Lon,50.55162,4.74623,CRO,Temperate,0.0469551,0.12742,1.40079,0.0,91.8457,0.0,31.9108,0.0,5.188,0.0,59.98,0.611351,294.178,0.0,1.21,0.0,99.91,0.0,,,1.416,0.0,3.552,0.0,,,0.639875469677419,0.29045292380765,5.188,6.226,60.147,294.178,1.21,99.91,1.416,3.552,1.4477451
3,200403,BE-Lon,50.55162,4.74623,CRO,Temperate,0.230144,0.247861,1.39245,0.0907258,47.9523,0.09543,17.8854,0.101478,6.891,0.101478,118.164,0.532258,289.754,0.0,1.939,0.101478,100.021,0.0,,,1.127,0.0,3.111,0.0,,,0.487795318666667,0.234870898477812,6.442,7.767,118.381,289.754,1.897,100.021,1.127,3.111,1.6225939999999999
4,200404,BE-Lon,50.55162,4.74623,CRO,Temperate,0.765823,1.47454,1.37786,0.908333,61.6717,0.9875,15.5192,0.993056,9.883,0.935417,165.512,0.940972,312.666,0.0,3.592,0.935417,100.036,0.863194,0.216459414084,0.695138888889,1.352,0.345139,3.411,0.98125,401.164,0.997222,0.586040724666667,0.182810406040819,11.078,12.278,165.089,312.666,3.277,99.277,1.45,2.972,2.1436830000000002
5,200405,BE-Lon,50.55162,4.74623,CRO,Temperate,2.03815,1.78886,0.343361,0.918683,61.6312,0.993952,33.1714,0.99664,11.824,1.0,210.269,1.0,315.736,0.0,4.176,1.0,100.5,1.0,0.191180438528,0.627016129032,1.435,1.0,2.234,0.914651,404.586,0.998656,0.365190474482759,0.201246799983983,13.236,14.496,217.456,315.736,4.175,99.547,1.218,2.358,2.3815109999999997
6,200406,BE-Lon,50.55162,4.74623,CRO,Temperate,11.8291,12.1895,-7.48739,0.976389,94.4979,0.997917,13.4983,1.0,15.247,1.0,219.442,1.0,337.839,0.0,3.902,1.0,100.699,1.0,0.242018427661,0.879166666667,2.247,0.994444,2.389,0.991667,398.197,0.999306,0.713510977096774,0.247129946539747,16.691,17.765,218.629,337.839,4.952,99.801,1.577,2.84,4.34171
7,200407,BE-Lon,50.55162,4.74623,CRO,Temperate,14.4384,15.1565,-9.6925,0.973118,93.2811,0.99664,8.4566,0.997984,16.302,1.0,212.699,1.0,345.711,0.0,4.075,1.0,100.527,1.0,0.229413931116,0.889112903226,3.551,0.954973,2.253,0.995296,401.705,1.0,1.04092094433333,0.36237809773775,17.886,18.944,207.629,345.711,4.961,99.667,2.174,2.686,4.745899999999999
8,200408,BE-Lon,50.55162,4.74623,CRO,Temperate,10.5497,11.1523,-6.3193,0.953629,91.991,0.998656,-5.65834,0.995968,17.837,1.0,169.737,1.0,356.411,0.0,4.042,1.0,100.112,0.999328,0.260757438461,0.902553763441,4.101,0.952957,2.641,0.99328,402.451,1.0,1.25831022,0.466360545184192,19.213,20.258,168.661,356.411,4.976,99.253,4.024,2.93,4.2303999999999995
9,200409,BE-Lon,50.55162,4.74623,CRO,Temperate,7.53151,7.95487,-3.81612,0.984722,74.2074,0.995139,-8.77099,0.996528,14.987,0.998611,144.549,0.998611,337.554,0.0,3.693,0.998611,100.783,0.996528,0.279212847537,0.904166666667,1.706,0.984028,2.946,0.990972,399.434,0.997917,3.11397773,0.634589489338658,16.198,17.455,133.198,337.554,4.368,99.962,1.268,3.281,3.7153899999999997
10,200410,BE-Lon,50.55162,4.74623,CRO,Temperate,-0.048341,2.6188,3.08227,0.971774,25.0654,0.997312,-9.77655,1.0,11.175,1.0,78.592,1.0,320.739,0.0,2.233,1.0,99.885,0.998656,0.240384428901,0.926075268817,1.631,0.986559,4.007,0.991935,401.887,1.0,3.14944365483871,0.623513896343054,12.637,13.594,78.49,320.739,2.398,99.057,1.583,3.622,3.0339289999999997
11,200411,BE-Lon,50.55162,4.74623,CRO,Temperate,0.328284,0.373037,1.18674,0.909028,6.63248,0.986806,-2.54349,0.995833,5.613,0.926389,40.649,0.935417,309.21,0.0,0.76,0.926389,100.783,0.786111,0.201405031083,0.711805555556,0.999,0.775,2.906,0.991667,416.946,0.999306,1.21505450322581,0.447504257305714,6.85,7.541,35.686,309.21,0.614,100.096,1.352,2.689,1.515024
12,200412,BE-Lon,50.55162,4.74623,CRO,Temperate,0.20326,0.371231,0.696525,0.860215,0.122278,0.979167,-0.617971,0.992608,1.49,0.963038,24.9,0.963038,298.774,0.0,0.468,0.962366,100.672,0.862231,0.204105460924,0.553091397849,1.909,0.836694,3.016,0.909946,424.619,0.999328,1.17160861266667,0.409295431133115,3.318,4.04,23.666,298.774,0.291,99.86,1.627,2.649,0.899785
13,200501,BE-Lon,50.55162,4.74623,CRO,Temperate,0.598054,0.708039,0.551141,0.987231,3.85199,0.997312,-15.485,0.997312,3.863,0.99664,38.384,0.99664,296.809,0.0,1.154,0.99664,101.099,0.993952,0.279088852996,0.720430107527,2.231,0.959005,4.397,0.965054,405.28,0.999328,0.161794512258065,0.200575525843325,5.004,5.499,31.575,296.809,0.741,100.172,1.424,3.953,1.149195
14,200502,BE-Lon,50.55162,4.74623,CRO,Temperate,0.862514,0.810789,0.124814,0.962798,8.52167,0.990327,-4.62703,0.991071,1.458,0.970982,60.704,0.969494,282.373,0.0,0.95,0.96503,100.689,0.904018,0.228719389385,0.752232142857,2.652,0.89881,3.43,0.974702,410.01,0.99628,1.05303517612903,0.353366916638725,2.596,3.675,63.834,282.373,0.699,99.824,2.118,3.228,0.987328
